,Award Mean,Award Sum,Company Count,Year,city_state,creative_employees,creative_establishments,empowerment_zone,median_household_income,performance_amount,performance_count,recipient_amount,recipient_count,regular_employees,regular_establishments,total_earned_bachelor,total_earned_graduate_degree,total_foreign,total_less_than_bachelor,total_native,total_population,Score_invented,Score_assigned,percent_creative_class,scaled_perc_creative_class,creative_establishment_ratio,company_count_perc,percent_bachelors,percent_graduate,percent_foreign_born,scaled_population,recipient_mean,performance_mean,Patents,inventor_patents
33,220583.047619,4632244.0,21.0,2001,atlanta_ga,40864.0,3864.0,1,34770.0,374786614.05,1395.0,814716655.53,5301.0,736039.0,61430.0,61787.0,37553.0,27352.0,224449.0,389277.0,416474.0,4.33849388323,4.35173556916,0.0525985869536,0.0713398357907,0.0591784850063,0.000321622201121,0.190824889048,0.115979851076,0.0656751681978,12.9395793137,153691.125359,268664.239462,421,523
34,0.0,0.0,0.0,2001,allentown_pa,1061.0,265.0,1,32016.0,0.0,0.0,0.0,0.0,39497.0,4715.0,7713.0,3658.0,10227.0,69006.0,96405.0,106632.0,3.5924003825,4.0048802948,0.0261600670645,0.0277571086231,0.0532128514056,0.0,0.0959602871468,0.0455105316197,0.095909295521,11.5771389333,0.0,0.0,416,140
35,154442.333333,1853308.0,12.0,2001,southsanfrancisco_ca,106.0,27.0,0,61764.0,0.0,0.0,4759567.76,54.0,34764.0,2356.0,8218.0,2406.0,23739.0,35484.0,36988.0,60552.0,3.45146493196,4.26516664275,0.00303986234586,0.00317950819273,0.0113302559799,0.00503566932438,0.178233712154,0.0521818339551,0.392043202537,11.011257779,88140.1437037,0.0,397,62
36,94428.75,377715.0,4.0,2001,reno_nv,110.0,677.0,0,40530.0,5406840.0,4.0,101813560.42,401.0,108951.0,12210.0,20767.0,9863.0,31185.0,108186.0,149473.0,180480.0,3.98154947459,4.25011423811,0.00100860986054,0.00116995341153,0.0525335609529,0.000310390315822,0.149600910558,0.0710508875058,0.172789228723,12.1033752473,253899.153167,1351710.0,380,229
37,215480.192308,5602485.0,26.0,2001,pasadena_ca,504.0,725.0,0,46012.0,1207.77,4.0,427749053.42,1143.0,113476.0,10292.0,22831.0,16386.0,43277.0,64030.0,90594.0,133936.0,4.06446097175,4.2152182226,0.00442182839095,0.00514867893471,0.0658073885813,0.00235998910774,0.221129911765,0.158706790512,0.32311701111,11.8051173529,374233.642537,301.9425,377,320
38,146989.5,293979.0,2.0,2001,detroit_mi,8859.0,752.0,1,29526.0,677952.0,10.0,225839601.0,2360.0,227332.0,16109.0,40947.0,23808.0,45541.0,590966.0,905729.0,951270.0,3.23167402002,3.8120360408,0.0375077797206,0.0464061106737,0.0445999644149,0.000118616926635,0.0624457658059,0.0363081249495,0.0478738948984,13.7655532129,95694.7461864,67795.2,356,53
39,296514.0,296514.0,1.0,2001,akron_oh,2853.0,436.0,1,31835.0,4447496.0,3.0,270455931.0,628.0,95128.0,7903.0,17701.0,8634.0,6911.0,135803.0,210177.0,217074.0,3.68799307328,3.94369131483,0.0291178902032,0.0334638193541,0.0522844465763,0.00011991845545,0.109172433359,0.0532509343892,0.0318370693865,12.2879935882,430662.31051,1482498.66667,348,200
40,123283.772727,2712243.0,22.0,2001,durham_nc,2456.0,598.0,0,41160.0,21335138.47,220.0,138085594.58,736.0,112324.0,14566.0,31803.0,21940.0,22544.0,90583.0,164639.0,187035.0,4.29241601266,4.24575600463,0.0213974560028,0.0249296892645,0.0394355051438,0.00145080453706,0.220355306736,0.152016961601,0.12053358997,12.1390510441,187616.296984,96977.9021364,324,435
41,301102.444444,2709922.0,9.0,2001,newark_de,0.0,26.0,0,48758.0,0.0,0.0,14656506.0,207.0,12367.0,1607.0,4616.0,2891.0,2116.0,17640.0,26454.0,28547.0,3.88051732451,4.07939163003,0.0,0.0,0.0159216166565,0.00551132884262,0.1835606633,0.114964011612,0.074123375486,10.2593071308,70804.3768116,0.0,318,203
42,187518.487179,7313221.0,39.0,2001,carlsbad_ca,281.0,156.0,0,65145.0,4542988.0,11.0,51582200.25,349.0,29343.0,3602.0,16558.0,8945.0,9930.0,34224.0,68068.0,78247.0,4.22130025004,4.18407039542,0.00948555225493,0.00976664722674,0.0415114422565,0.0103778605641,0.277228054314,0.149764763005,0.126905823865,11.267625769,147800.000716,412998.909091,316,453
43,166671.193548,5166807.0,31.0,2001,pittsburgh_pa,15568.0,1294.0,1,28588.0,4107229.28,90.0,270989550.49,1694.0,294163.0,20975.0,36800.0,28169.0,18874.0,203161.0,315689.0,334563.0,4.14692784571,4.08462725871,0.0502629701257,0.0635497825014,0.0581076833266,0.0013920696933,0.137246857867,0.10505724835,0.0564138891629,12.7205804816,159970.218707,45635.8808889,314,457
44,155806.4375,2492903.0,16.0,2001,elsegundo_ca,82.0,57.0,0,61341.0,115198316.99,20.0,1560589339.44,1618.0,33655.0,1510.0,3346.0,1497.0,1973.0,7534.0,13997.0,16033.0,2.75182598046,4.09607079852,0.00243056584759,0.00253419312869,0.0363752393108,0.0102105934907,0.270340147047,0.120950149471,0.123058691449,9.68240437719,964517.515105,5759915.8495,293,26
45,239276.179487,9331771.0,39.0,2001,edenprairie_mn,80.0,82.0,0,78328.0,132758.0,1.0,66509776.0,263.0,31448.0,3031.0,14658.0,5935.0,4866.0,17611.0,50035.0,54901.0,4.01111698301,4.12465041528,0.00253742704897,0.00262842712988,0.0263411500161,0.0125281079345,0.383677101874,0.155350225107,0.0886322653504,10.9132868423,252888.882129,132758.0,292,284
